Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10001_001,SE_A18009_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
"060379001545246800408","08000US060379001545246800408","Census Tract 8004.08 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8004.08 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004882",,,,,"06","037","90015","45246","0645246","800408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,2310,2912,2178,2088,90,0,0,14,136,30,554,74.79,71.7,3.09,0,0,0.48,4.67,1.03,19.02
"060379001545246800410","08000US060379001545246800410","Census Tract 8004.10 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8004.10 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004883",,,,,"06","037","90015","45246","0645246","800410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2195,727,356,235,121,0,0,0,282,0,89,48.97,32.32,16.64,0,0,0,38.79,0,12.24
"060379001545246800504","08000US060379001545246800504","Census Tract 8005.04 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8005.04 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004884",,,,,"06","037","90015","45246","0645246","800504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352,2310,947,730,705,25,30,0,0,28,0,159,77.09,74.45,2.64,3.17,0,0,2.96,0,16.79
"060379001545246800506","08000US060379001545246800506","Census Tract 8005.06 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8005.06 (part), Malibu city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004885",,,,,"06","037","90015","45246","0645246","800506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,2310,443,372,372,0,0,0,0,0,1,70,83.97,83.97,0,0,0,0,0,0.23,15.8
"060379001578960800102","08000US060379001578960800102","Census Tract 8001.02 (part), Topanga CDP (part), Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8001.02 (part), Topanga CDP (part), Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004886",,,,,"06","037","90015","78960","0678960","800102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,1986,3242,2291,2126,165,0,25,16,104,0,806,70.67,65.58,5.09,0,0.77,0.49,3.21,0,24.86
"060379001578960800506","08000US060379001578960800506","Census Tract 8005.06 (part), Topanga CDP (part), Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8005.06 (part), Topanga CDP (part), Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004887",,,,,"06","037","90015","78960","0678960","800506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,2310,974,849,813,36,0,0,0,0,0,125,87.17,83.47,3.7,0,0,0,0,0,12.83
"060379001584438800324","08000US060379001584438800324","Census Tract 8003.24 (part), Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.24 (part), Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004888",,,,,"06","037","90015","84438","0684438","800324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,2310,326,312,297,15,0,0,0,0,0,14,95.71,91.1,4.6,0,0,0,0,0,4.29
"060379001584438800325","08000US060379001584438800325","Census Tract 8003.25, Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.25, Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004889",,,,,"06","037","90015","84438","0684438","800325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,2218,1159,1049,943,106,0,0,0,6,0,104,90.51,81.36,9.15,0,0,0,0.52,0,8.97
"060379001584438800326","08000US060379001584438800326","Census Tract 8003.26 (part), Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.26 (part), Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004890",,,,,"06","037","90015","84438","0684438","800326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346,2310,1501,1295,1217,78,0,0,0,0,0,206,86.28,81.08,5.2,0,0,0,0,0,13.72
"060379001584438800331","08000US060379001584438800331","Census Tract 8003.31, Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.31, Westlake Village city, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004891",,,,,"06","037","90015","84438","0684438","800331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,2310,367,227,201,26,0,0,0,12,0,128,61.85,54.77,7.08,0,0,0,3.27,0,34.88
"060379001599999800102","08000US060379001599999800102","Census Tract 8001.02 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8001.02 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004892",,,,,"06","037","90015","99999","0699999","800102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,2310,195,195,120,75,0,0,0,0,0,0,100,61.54,38.46,0,0,0,0,0,0
"060379001599999800326","08000US060379001599999800326","Census Tract 8003.26 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.26 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004893",,,,,"06","037","90015","99999","0699999","800326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,748,586,448,438,10,0,0,0,10,34,94,76.45,74.74,1.71,0,0,0,1.71,5.8,16.04
"060379001599999800328","08000US060379001599999800328","Census Tract 8003.28 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.28 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004894",,,,,"06","037","90015","99999","0699999","800328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,137,70,70,0,0,0,0,0,0,67,51.09,51.09,0,0,0,0,0,0,48.91
"060379001599999800329","08000US060379001599999800329","Census Tract 8003.29 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.29 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004895",,,,,"06","037","90015","99999","0699999","800329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,446,400,380,20,0,0,0,0,0,46,89.69,85.2,4.48,0,0,0,0,0,10.31
"060379001599999800330","08000US060379001599999800330","Census Tract 8003.30, Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8003.30, Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004896",,,,,"06","037","90015","99999","0699999","800330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,2310,417,313,261,52,0,21,0,0,0,83,75.06,62.59,12.47,0,5.04,0,0,0,19.9
"060379001599999800406","08000US060379001599999800406","Census Tract 8004.06 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8004.06 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004897",,,,,"06","037","90015","99999","0699999","800406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,1675,257,226,171,55,0,0,0,13,0,18,87.94,66.54,21.4,0,0,0,5.06,0,7
"060379001599999800408","08000US060379001599999800408","Census Tract 8004.08 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8004.08 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004898",,,,,"06","037","90015","99999","0699999","800408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"060379001599999800410","08000US060379001599999800410","Census Tract 8004.10 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8004.10 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004899",,,,,"06","037","90015","99999","0699999","800410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,1653,760,511,433,78,15,0,0,199,0,35,67.24,56.97,10.26,1.97,0,0,26.18,0,4.61
"060379001599999800504","08000US060379001599999800504","Census Tract 8005.04 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8005.04 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004900",,,,,"06","037","90015","99999","0699999","800504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,2310,213,123,123,0,0,0,0,27,0,63,57.75,57.75,0,0,0,0,12.68,0,29.58
"060379001599999800506","08000US060379001599999800506","Census Tract 8005.06 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 8005.06 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004901",,,,,"06","037","90015","99999","0699999","800506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,138,128,128,0,0,0,0,0,0,10,92.75,92.75,0,0,0,0,0,0,7.25
"060379001599999990100","08000US060379001599999990100","Census Tract 9901, Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 9901, Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004902",,,,,"06","037","90015","99999","0699999","990100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"060379001599999990200","08000US060379001599999990200","Census Tract 9902 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","Census Tract 9902 (part), Remainder of Agoura Hills-Malibu CCD, Agoura Hills-Malibu CCD, Los Angeles County, California","ca","080","00","ACSSF","0004903",,,,,"06","037","90015","99999","0699999","990200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"060379056011530294110","08000US060379056011530294110","Census Tract 2941.10 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 2941.10 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004904",,,,,"06","037","90560","11530","0611530","294110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"060379056011530541002","08000US060379056011530541002","Census Tract 5410.02, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5410.02, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004905",,,,,"06","037","90560","11530","0611530","541002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,1058,1330,1167,935,232,71,0,27,25,11,29,87.74,70.3,17.44,5.34,0,2.03,1.88,0.83,2.18
"060379056011530543100","08000US060379056011530543100","Census Tract 5431 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 5431 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004906",,,,,"06","037","90560","11530","0611530","543100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,2310,362,320,212,108,12,0,0,0,0,30,88.4,58.56,29.83,3.31,0,0,0,0,8.29
"060379056011530543202","08000US060379056011530543202","Census Tract 5432.02 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 5432.02 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004907",,,,,"06","037","90560","11530","0611530","543202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"060379056011530543304","08000US060379056011530543304","Census Tract 5433.04, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5433.04, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004908",,,,,"06","037","90560","11530","0611530","543304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,2310,2745,2532,2490,42,111,12,0,19,0,71,92.24,90.71,1.53,4.04,0.44,0,0.69,0,2.59
"060379056011530543306","08000US060379056011530543306","Census Tract 5433.06, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5433.06, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004909",,,,,"06","037","90560","11530","0611530","543306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049,1797,3298,2976,2523,453,95,0,0,15,32,180,90.24,76.5,13.74,2.88,0,0,0.45,0.97,5.46
"060379056011530543321","08000US060379056011530543321","Census Tract 5433.21 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 5433.21 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004910",,,,,"06","037","90560","11530","0611530","543321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726,1384,2552,2234,2079,155,53,13,0,202,4,46,87.54,81.47,6.07,2.08,0.51,0,7.92,0.16,1.8
"060379056011530543322","08000US060379056011530543322","Census Tract 5433.22, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5433.22, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004911",,,,,"06","037","90560","11530","0611530","543322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109,1604,3298,3097,2737,360,29,0,27,35,89,21,93.91,82.99,10.92,0.88,0,0.82,1.06,2.7,0.64
"060379056011530543400","08000US060379056011530543400","Census Tract 5434, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5434, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004912",,,,,"06","037","90560","11530","0611530","543400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,1997,1817,1686,1436,250,53,24,0,9,0,45,92.79,79.03,13.76,2.92,1.32,0,0.5,0,2.48
"060379056011530543501","08000US060379056011530543501","Census Tract 5435.01 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 5435.01 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004913",,,,,"06","037","90560","11530","0611530","543501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135,1073,2964,2597,2226,371,159,0,22,158,0,28,87.62,75.1,12.52,5.36,0,0.74,5.33,0,0.94
"060379056011530543601","08000US060379056011530543601","Census Tract 5436.01, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5436.01, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004914",,,,,"06","037","90560","11530","0611530","543601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,1442,1659,1552,1324,228,7,9,0,67,0,24,93.55,79.81,13.74,0.42,0.54,0,4.04,0,1.45
"060379056011530543604","08000US060379056011530543604","Census Tract 5436.04, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5436.04, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004915",,,,,"06","037","90560","11530","0611530","543604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,1335,2710,2582,2308,274,65,0,0,20,0,43,95.28,85.17,10.11,2.4,0,0,0.74,0,1.59
"060379056011530543701","08000US060379056011530543701","Census Tract 5437.01, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5437.01, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004916",,,,,"06","037","90560","11530","0611530","543701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,1926,1395,1339,1038,301,0,0,15,0,0,41,95.99,74.41,21.58,0,0,1.08,0,0,2.94
"060379056011530543702","08000US060379056011530543702","Census Tract 5437.02, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5437.02, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004917",,,,,"06","037","90560","11530","0611530","543702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864,1473,3245,2972,2682,290,166,0,9,0,22,76,91.59,82.65,8.94,5.12,0,0.28,0,0.68,2.34
"060379056011530543703","08000US060379056011530543703","Census Tract 5437.03, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5437.03, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004918",,,,,"06","037","90560","11530","0611530","543703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,973,1629,1439,1163,276,29,0,0,41,36,84,88.34,71.39,16.94,1.78,0,0,2.52,2.21,5.16
"060379056011530543801","08000US060379056011530543801","Census Tract 5438.01, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5438.01, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004919",,,,,"06","037","90560","11530","0611530","543801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1617,2618,2516,2090,426,8,15,0,33,0,46,96.1,79.83,16.27,0.31,0.57,0,1.26,0,1.76
"060379056011530543802","08000US060379056011530543802","Census Tract 5438.02, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5438.02, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004920",,,,,"06","037","90560","11530","0611530","543802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922,1196,2859,2483,2017,466,124,13,0,87,75,77,86.85,70.55,16.3,4.34,0.45,0,3.04,2.62,2.69
"060379056011530543903","08000US060379056011530543903","Census Tract 5439.03, Carson city, Compton CCD, Los Angeles County, California","Census Tract 5439.03, Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004921",,,,,"06","037","90560","11530","0611530","543903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,1499,1518,1282,1077,205,136,0,0,20,37,43,84.45,70.95,13.5,8.96,0,0,1.32,2.44,2.83
"060379056011530543905","08000US060379056011530543905","Census Tract 5439.05 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 5439.05 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004922",,,,,"06","037","90560","11530","0611530","543905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,1569,1644,1418,1312,106,50,0,15,0,44,117,86.25,79.81,6.45,3.04,0,0.91,0,2.68,7.12
"060379056011530544001","08000US060379056011530544001","Census Tract 5440.01 (part), Carson city, Compton CCD, Los Angeles County, California","Census Tract 5440.01 (part), Carson city, Compton CCD, Los Angeles County, California","ca","080","00","ACSSF","0004923",,,,,"06","037","90560","11530","0611530","544001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,1148,1738,1487,1216,271,89,5,0,0,50,107,85.56,69.97,15.59,5.12,0.29,0,0,2.88,6.16
